tdate,subportfolio,portfolio,security_id,strike,derivative_type,currency,total_active_lots
2025-08-02,AUST_25,AUST_25,CM CT H26,nan,future,USD,50.0
2025-08-02,AUST_25,AUST_25,CM CT Z25,nan,future,USD,-1864.0
2025-08-02,AUST_25,AUST_25,CM CT Z26,nan,future,USD,44.0
2025-08-02,AUST_25_NZ5_RL,AUST_25_NZ5_RL,CM CT Z25,nan,future,USD,0.0
2025-08-02,AUST_26,AUST_26,CM CT H26,nan,future,USD,-50.0
2025-08-02,AUST_26,AUST_26,CM CT K26,nan,future,USD,500.0
2025-08-02,AUST_26,AUST_26,CM CT N26,nan,future,USD,-910.0
2025-08-02,AUST_26,AUST_26,CM CT Z25,nan,future,USD,140.0
2025-08-02,AUST_26_HK6_PR,AUST_26_HK6_PR,CM CT H26,nan,future,USD,-504.0
2025-08-02,AUST_26_HK6_PR,AUST_26_HK6_PR,CM CT K26,nan,future,USD,504.0
2025-08-02,AUST_26_KN6_PR,AUST_26_KN6_PR,CM CT K26,nan,future,USD,-1251.0
2025-08-02,AUST_26_KN6_PR,AUST_26_KN6_PR,CM CT N26,nan,future,USD,1251.0
2025-08-02,AUST_26_NZ5_PR,AUST_26_NZ5_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,AUST_26_ZH6_PR,AUST_26_ZH6_PR,CM CT H26,nan,future,USD,0.0
2025-08-02,AUST_26_ZH6_PR,AUST_26_ZH6_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,AUST_26_ZH6_RL,AUST_26_ZH6_RL,CM CT H26,nan,future,USD,0.0
2025-08-02,AUST_26_ZH6_RL,AUST_26_ZH6_RL,CM CT Z25,nan,future,USD,0.0
2025-08-02,BENIN_24,BENIN_24,CM CT Z25,nan,future,USD,83.0
2025-08-02,BENIN_25,BENIN_25,CM CT Z25,nan,future,USD,-1112.0
2025-08-02,BENIN_26,BENIN_26,CM CT H26,nan,future,USD,-642.0
2025-08-02,BENIN_26,BENIN_26,CM CT Z25,nan,future,USD,-90.0
2025-08-02,BF_24-25_NZ5_RL,BF_24-25_NZ5_RL,CM CT Z25,nan,future,USD,0.0
2025-08-02,BF_25-26_HK6_RL,BF_25-26_HK6_RL,CM CT H26,nan,future,USD,-778.0
2025-08-02,BF_25-26_HK6_RL,BF_25-26_HK6_RL,CM CT K26,nan,future,USD,778.0
2025-08-02,BF_25-26_KN6_RL,BF_25-26_KN6_RL,CM CT K26,nan,future,USD,-778.0
2025-08-02,BF_25-26_KN6_RL,BF_25-26_KN6_RL,CM CT N26,nan,future,USD,778.0
2025-08-02,BF_25-26_NZ5_PR,BF_25-26_NZ5_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,BF_25-26_NZ6_RL,BF_25-26_NZ6_RL,CM CT N26,nan,future,USD,-819.0
2025-08-02,BF_25-26_NZ6_RL,BF_25-26_NZ6_RL,CM CT Z26,nan,future,USD,819.0
2025-08-02,BF_25-26_ZH6_PR,BF_25-26_ZH6_PR,CM CT H26,nan,future,USD,1987.0
2025-08-02,BF_25-26_ZH6_PR,BF_25-26_ZH6_PR,CM CT Z25,nan,future,USD,-1987.0
2025-08-02,BF_25-26_ZH6_RL,BF_25-26_ZH6_RL,CM CT H26,nan,future,USD,0.0
2025-08-02,BF_25-26_ZH6_RL,BF_25-26_ZH6_RL,CM CT Z25,nan,future,USD,0.0
2025-08-02,BFASO_24,BFASO_24,CM CT Z25,nan,future,USD,-96.0
2025-08-02,BFASO_25,BFASO_25,CM CT Z25,nan,future,USD,-181.0
2025-08-02,BFASO_26,BFASO_26,CM CT H26,nan,future,USD,50.0
2025-08-02,BFASO_26,BFASO_26,CM CT K26,nan,future,USD,0.0
2025-08-02,BFASO_26,BFASO_26,CM CT N26,nan,future,USD,41.0
2025-08-02,BFASO_26,BFASO_26,CM CT Z25,nan,future,USD,640.0
2025-08-02,BFASO_26,BFASO_26,CM CT Z26,nan,future,USD,-819.0
2025-08-02,BFASO_PR,BFASO_PR,CM CT H26,nan,future,USD,-183.0
2025-08-02,BFASO_PR,BFASO_PR,CM CT Z25,nan,future,USD,211.0
2025-08-02,BFASO_PR,BFASO_PR,CM CT Z25.Z25C 75,75.0,vanilla_call,USD,-200.0
2025-08-02,BFASO_PR,BFASO_PR,CM CT Z25.Z25P 63,63.0,vanilla_put,USD,-100.0
2025-08-02,BRZ_23,BRZ_23,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_24,BRZ_24,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_25,BRZ_25,CM CT H26,nan,future,USD,-1623.0
2025-08-02,BRZ_25,BRZ_25,CM CT K26,nan,future,USD,-1526.0
2025-08-02,BRZ_25,BRZ_25,CM CT N26,nan,future,USD,-927.0
2025-08-02,BRZ_25,BRZ_25,CM CT Z25,nan,future,USD,-103.0
2025-08-02,BRZ_25,BRZ_25,CM CT Z26,nan,future,USD,0.0
2025-08-02,BRZ_25_HK6_RL,BRZ_25_HK6_RL,CM CT H26,nan,future,USD,-2453.0
2025-08-02,BRZ_25_HK6_RL,BRZ_25_HK6_RL,CM CT K26,nan,future,USD,2453.0
2025-08-02,BRZ_25_KN6_RL,BRZ_25_KN6_RL,CM CT K26,nan,future,USD,-927.0
2025-08-02,BRZ_25_KN6_RL,BRZ_25_KN6_RL,CM CT N26,nan,future,USD,927.0
2025-08-02,BRZ_25_NZ5_PR,BRZ_25_NZ5_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_25_NZ6_RL,BRZ_25_NZ6_RL,CM CT N26,nan,future,USD,0.0
2025-08-02,BRZ_25_NZ6_RL,BRZ_25_NZ6_RL,CM CT Z26,nan,future,USD,0.0
2025-08-02,BRZ_25_ZH6_PR,BRZ_25_ZH6_PR,CM CT H26,nan,future,USD,0.0
2025-08-02,BRZ_25_ZH6_PR,BRZ_25_ZH6_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_25_ZH6_RL,BRZ_25_ZH6_RL,CM CT H26,nan,future,USD,4076.0
2025-08-02,BRZ_25_ZH6_RL,BRZ_25_ZH6_RL,CM CT Z25,nan,future,USD,-4076.0
2025-08-02,BRZ_26,BRZ_26,CM CT Z26,nan,future,USD,-3402.0
2025-08-02,BRZ_26_HK6_PR,BRZ_26_HK6_PR,CM CT H26,nan,future,USD,-1528.0
2025-08-02,BRZ_26_HK6_PR,BRZ_26_HK6_PR,CM CT K26,nan,future,USD,1528.0
2025-08-02,BRZ_26_KN6_PR,BRZ_26_KN6_PR,CM CT K26,nan,future,USD,-1528.0
2025-08-02,BRZ_26_KN6_PR,BRZ_26_KN6_PR,CM CT N26,nan,future,USD,1528.0
2025-08-02,BRZ_26_NZ5_PR,BRZ_26_NZ5_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_26_NZ6_PR,BRZ_26_NZ6_PR,CM CT N26,nan,future,USD,-1528.0
2025-08-02,BRZ_26_NZ6_PR,BRZ_26_NZ6_PR,CM CT Z26,nan,future,USD,1528.0
2025-08-02,BRZ_26_ZH6_PR,BRZ_26_ZH6_PR,CM CT H26,nan,future,USD,1528.0
2025-08-02,BRZ_26_ZH6_PR,BRZ_26_ZH6_PR,CM CT Z25,nan,future,USD,-1528.0
